Sample,,,,,,,43  Ca  [ No Gas ] ,,,,43  Ca  [ He Gas ] ,,,,44  Ca  [ No Gas ] ,,,,44  Ca  [ He Gas ] ,,,,55  Mn  [ No Gas ] ,,,,56  Fe  [ He Gas ] ,,,,60  Ni  [ No Gas ] ,,,,63  Cu  [ No Gas ] ,,,,66  Zn  [ No Gas ] ,,,,95  Mo  [ No Gas ] ,,,,111  Cd  [ No Gas ] ,,,,182  W  [ No Gas ] ,,,,184  W  [ No Gas ] ,,,,208  Pb  [ No Gas ] ,,,,7  Li ( ISTD )  [ No Gas ] ,,,7  Li ( ISTD )  [ He Gas ] ,,,45  Sc ( ISTD )  [ No Gas ] ,,,45  Sc ( ISTD )  [ He Gas ] ,,,89  Y ( ISTD )  [ No Gas ] ,,,89  Y ( ISTD )  [ He Gas ] ,,,103  Rh ( ISTD )  [ No Gas ] ,,,103  Rh ( ISTD )  [ He Gas ] ,,,115  In ( ISTD )  [ No Gas ] ,,,115  In ( ISTD )  [ He Gas ] ,,,209  Bi ( ISTD )  [ No Gas ] ,,,209  Bi ( ISTD )  [ He Gas ] ,,
"55  Mn  [ No Gas ] :  CPS RSD value = 6.19 is over the allowed maximum = 5.00103  Rh ( ISTD )  [ He Gas ] :  ISTD Recovery Percent value = 120.27 is outside the allowed range [80.00, 120.00]",FALSE,010SMPL.d,11/13/2022 15:22,Sample,,H2O2 REAG,12.309,10,2.25E+03,6.2,8.767,139.8,10.01,70.7,7.336,16.6,1.26E+05,0.4,11.5,26.1,236.24,12.9,0.171,9.4,1.64E+04,6.2,0.244,12.6,1.23E+03,7.6,-0.078,N/A,612.63,13.5,0.061,6.9,4.60E+03,4.8,0.712,28.9,5.14E+04,3.8,0.043,12.8,688.71,11.6,0.002,56.3,56.06,53,0.939,3.9,24153.78,2.4,0.931,3.7,27886.66,2.3,0.003,38.5,426.44,14.8,2933.24,9.6,117.6,2,223.6,100,80602.31,0.7,101.6,772.8,17.6,118.4,98720.39,1.3,103.9,3383.82,5.9,117.7,84428.57,2.1,106.3,10843.03,3.3,120.3,95507.05,2.2,106.1,4168.82,2,114.3,72428.01,1.2,102.6,15634.9,2.9,115.2
"7  Li ( ISTD )  [ No Gas ] :  ISTD Recovery Percent value = 126.57 is outside the allowed range [80.00, 120.00]7  Li ( ISTD )  [ He Gas ] :  ISTD Recovery Percent value = 200.00 is outside the allowed range [80.00, 120.00]115  In ( ISTD )  [ No Gas ] :  ISTD Recovery Percent value = 120.93 is outside the allowed range [80.00, 120.00]209  Bi ( ISTD )  [ No Gas ] :  ISTD Recovery Percent value = 167.11 is outside the allowed range [80.00, 120.00]209  Bi ( ISTD )  [ He Gas ] :  ISTD Recovery Percent value = 153.23 is outside the allowed range [80.00, 120.00]",FALSE,011SMPL.d,11/13/2022 15:26,Sample,,SEP1 REAG,3.525,32.9,1.32E+03,10.8,10.07,179.5,10.01,100,-25.451,N/A,6.88E+04,4.5,4.185,105,146.15,28.5,1.07,2.6,9.04E+04,1.4,3.95,2.7,9.97E+03,4.7,0.428,3.2,8765.46,3.3,0.277,3.7,1.37E+04,3.9,-3.084,N/A,1.19E+04,3.1,0.101,10.5,1699.82,9.8,0.005,23.3,184.18,22.3,0.2,2.2,5903.24,1.8,0.203,9.3,6956.81,8.4,0.537,5.8,33630.13,5,3157.52,12.1,126.6,4,136.9,200,83478.75,1.3,105.2,724.75,12.3,111,113166.15,0.8,119.1,3105.47,5.2,108,93247.92,1.4,117.4,10079.74,3.7,111.8,108906.28,1.4,120.9,3778.32,3,103.6,117965.29,1.5,167.1,20791.09,3.4,153.2
"103  Rh ( ISTD )  [ He Gas ] :  ISTD Recovery Percent value = 121.58 is outside the allowed range [80.00, 120.00]",FALSE,012SMPL.d,11/13/2022 15:29,Sample,,SEP2 REAG,6.673,13.4,1.61E+03,8.3,24.705,82,20.02,61.2,0.933,118.7,1.16E+05,1.2,4.272,74.4,160.16,20.3,0.554,2.8,4.52E+04,3.5,3.999,4,1.10E+04,2.4,0.969,5.7,16085.03,3.5,0.544,5.5,2.25E+04,3.9,-2.302,N/A,1.95E+04,2.8,0.019,19.3,330.34,16.7,0.006,34.2,216.22,34.3,0.034,7.3,928.98,6,0.031,4,991.04,3.4,0.036,10.9,2304.53,8.3,2640.9,3,105.9,2,223.6,100,81223.06,2,102.4,764.79,16.6,117.2,102657.74,1.9,108.1,3291.7,5.3,114.5,86172.36,2.2,108.5,10961.25,2.3,121.6,98030.78,1.8,108.9,4305,6,118.1,73905.82,1.8,104.7,15556.7,1.2,114.7
"55  Mn  [ No Gas ] :  CPS RSD value = 9.04 is over the allowed maximum = 5.0045  Sc ( ISTD )  [ He Gas ] :  ISTD Recovery Percent value = 120.86 is outside the allowed range [80.00, 120.00]89  Y ( ISTD )  [ He Gas ] :  ISTD Recovery Percent value = 120.27 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He Gas ] :  ISTD Recovery Percent value = 125.55 is outside the allowed range [80.00, 120.00]115  In ( ISTD )  [ He Gas ] :  ISTD Recovery Percent value = 127.96 is outside the allowed range [80.00, 120.00]",FALSE,013SMPL.d,11/13/2022 15:33,Sample,,SEP3 REAG,4.504,21,1.43E+03,9.7,1.392,617.4,6.01,91.3,-14.892,N/A,9.01E+04,1.1,4.755,90.5,170.17,25,0.134,12.2,1.48E+04,9,1.401,11,4.37E+03,8.8,0.063,9.3,2895.21,4.1,0.068,10.7,5.28E+03,5.1,-3.25,N/A,9.78E+03,5.4,0.002,67.6,94.09,27.7,0.001,64,28.03,58.7,0.016,21.1,482.5,20,0.017,15.6,580.6,15.7,0.002,38,446.46,12.5,2875.17,5.2,115.2,2,223.6,100,84149.39,1.4,106.1,788.82,17.3,120.9,109693.47,1,115.5,3457.92,3.7,120.3,91952.21,1.5,115.8,11319.89,3.3,125.6,107076.47,1.1,118.9,4665.48,2.3,128,81329.64,1.1,115.2,16073.91,1.6,118.5
"7  Li ( ISTD )  [ He Gas ] :  ISTD Recovery Percent value = 200.00 is outside the allowed range [80.00, 120.00]45  Sc ( ISTD )  [ He Gas ] :  ISTD Recovery Percent value = 129.14 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He Gas ] :  ISTD Recovery Percent value = 124.84 is outside the allowed range [80.00, 120.00]115  In ( ISTD )  [ He Gas ] :  ISTD Recovery Percent value = 122.13 is outside the allowed range [80.00, 120.00]209  Bi ( ISTD )  [ No Gas ] :  CPS RSD value = 7.21 is over the allowed maximum = 5.00209  Bi ( ISTD )  [ He Gas ] :  ISTD Recovery Percent value = 125.01 is outside the allowed range [80.00, 120.00]",FALSE,014SMPL.d,11/13/2022 15:36,Sample,,SEP4 REAG,3.161,21.4,1.19E+03,8.3,-4.617,N/A,2,223.6,-14.682,N/A,8.62E+04,1.9,3.382,88.1,154.15,19.8,0.105,7.3,1.19E+04,5,0.875,6.9,2.95E+03,3.6,-0.01,N/A,1655.77,4.7,0.053,11.9,4.48E+03,4.6,-3.519,N/A,6.32E+03,2.9,0.013,42.3,250.25,32.9,0.001,33.5,40.04,30.6,0.078,5.4,2096.28,4.3,0.077,6.4,2412.65,5.1,0.009,16.6,790.82,9.4,2708.97,7.8,108.6,4,136.9,200,81047.05,3.2,102.2,842.88,6,129.1,103828.98,2.6,109.3,3395.82,4.1,118.1,87548.36,3.1,110.2,11255.77,4.6,124.8,99040.8,2.3,110,4453.19,7.1,122.1,81731,7.2,115.8,16961.84,2.9,125
"63  Cu  [ No Gas ] :  CPS RSD value = 16.43 is over the allowed maximum = 5.007  Li ( ISTD )  [ No Gas ] :  ISTD Recovery Percent value = 133.39 is outside the allowed range [80.00, 120.00]45  Sc ( ISTD )  [ He Gas ] :  ISTD Recovery Percent value = 127.30 is outside the allowed range [80.00, 120.00]89  Y ( ISTD )  [ He Gas ] :  ISTD Recovery Percent value = 135.94 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He Gas ] :  ISTD Recovery Percent value = 125.02 is outside the allowed range [80.00, 120.00]115  In ( ISTD )  [ He Gas ] :  ISTD Recovery Percent value = 134.66 is outside the allowed range [80.00, 120.00]",FALSE,015SMPL.d,11/13/2022 15:40,Sample,,SEP5 REAG,4.166,43.1,1.16E+03,17,14.451,189.1,14.01,119.5,25.662,8.7,1.47E+05,1.8,7.443,72.8,200.21,29.8,0.101,5.4,1.02E+04,4,1.075,8.4,3.49E+03,7.8,-0.05,N/A,924.96,4.9,8.662,17.4,2.87E+05,16.4,-2.201,N/A,1.84E+04,2.5,0.021,26,332.34,21.7,0.001,65.4,22.02,59.3,0.012,15.7,318.33,14.8,0.015,7,436.45,6.6,0.001,99.1,300.31,18.7,3327.73,12,133.4,2,223.6,100,84360.51,1.4,106.3,830.86,12.9,127.3,96116.35,0.5,101.2,3908.48,4.2,135.9,76870.57,1.2,96.8,11271.81,2.4,125,88634.05,1,98.4,4909.81,4.2,134.7,59441.44,1.5,84.2,15043.63,2.6,110.9
"55  Mn  [ No Gas ] :  CPS RSD value = 14.20 is over the allowed maximum = 5.007  Li ( ISTD )  [ He Gas ] :  ISTD Recovery Percent value = 0.00 is outside the allowed range [80.00, 120.00]45  Sc ( ISTD )  [ No Gas ] :  ISTD Recovery Percent value = 124.30 is outside the allowed range [80.00, 120.00]45  Sc ( ISTD )  [ He Gas ] :  ISTD Recovery Percent value = 146.63 is outside the allowed range [80.00, 120.00]89  Y ( ISTD )  [ He Gas ] :  ISTD Recovery Percent value = 152.72 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He Gas ] :  ISTD Recovery Percent value = 145.73 is outside the allowed range [80.00, 120.00]115  In ( ISTD )  [ He Gas ] :  ISTD Recovery Percent value = 149.32 is outside the allowed range [80.00, 120.00]209  Bi ( ISTD )  [ He Gas ] :  ISTD Recovery Percent value = 127.02 is outside the allowed range [80.00, 120.00]",FALSE,016SMPL.d,11/13/2022 15:43,Sample,,Cleanout,25.478,9.8,4.24E+03,6.8,24.814,93,24.02,69.7,52.684,4.8,2.37E+05,1.3,26.71,14.3,484.49,10,0.071,26.6,1.00E+04,14.2,0.125,23.2,1.12E+03,7.2,-0.076,N/A,710.74,16.3,0.098,6.2,6.58E+03,3.1,-3.45,N/A,7.59E+03,6.5,0.001,161.9,70.07,33.5,0.001,48.8,34.03,44.6,0.001,147.5,48.05,61.4,0.001,42.3,72.07,26.7,0.004,15.8,540.56,6.9,2849.15,3.7,114.2,0,N/A,0,98603.48,0.7,124.3,957,10.9,146.6,113604.15,1.5,119.6,4391.1,3.1,152.7,93558.35,1.6,117.8,13139.31,3.8,145.7,105638.66,1,117.3,5444.55,6.2,149.3,72871.19,2,103.2,17234.55,2.5,127
"66  Zn  [ No Gas ] :  CPS RSD value = 15.63 is over the allowed maximum = 5.007  Li ( ISTD )  [ No Gas ] :  ISTD Recovery Percent value = 173.44 is outside the allowed range [80.00, 120.00]7  Li ( ISTD )  [ He Gas ] :  ISTD Recovery Percent value = 700.00 is outside the allowed range [80.00, 120.00]",FALSE,017SMPL.d,11/13/2022 15:47,Sample,,B1 SEP1L,55.001,1.9,7.39E+03,2.4,48.76,49.3,32.03,40.7,20.379,4.4,1.51E+05,0.7,60.38,12.1,714.74,10.2,5.299,1.6,3.90E+05,1.4,9.925,3.4,2.44E+04,1.5,2.607,2.6,39546.76,1.7,1.521,1.1,5.75E+04,0.3,0.955,78.4,5.42E+04,15.6,0.364,4.4,5422.49,3.8,0.015,17.4,516.53,19.2,0.05,5.6,1377.46,4.1,0.054,11.9,1711.84,11,2.511,1.6,143200.06,2,4326.97,6.1,173.4,14.01,63.9,700,78605.41,0.7,99.1,772.8,9.9,118.4,107414.4,1.1,113.1,3241.64,4.4,112.7,84589.71,1.1,106.5,10167.85,2.6,112.8,99819.27,1.7,110.8,3906.49,4.3,107.1,73196.94,2.1,103.7,13827.11,1.1,101.9
"45  Sc ( ISTD )  [ He Gas ] :  ISTD Recovery Percent value = 138.65 is outside the allowed range [80.00, 120.00]89  Y ( ISTD )  [ No Gas ] :  ISTD Recovery Percent value = 120.25 is outside the allowed range [80.00, 120.00]89  Y ( ISTD )  [ He Gas ] :  ISTD Recovery Percent value = 133.64 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He Gas ] :  ISTD Recovery Percent value = 131.24 is outside the allowed range [80.00, 120.00]115  In ( ISTD )  [ He Gas ] :  ISTD Recovery Percent value = 129.77 is outside the allowed range [80.00, 120.00]209  Bi ( ISTD )  [ No Gas ] :  ISTD Recovery Percent value = 2420.93 is outside the allowed range [80.00, 120.00]209  Bi ( ISTD )  [ He Gas ] :  ISTD Recovery Percent value = 2828.92 is outside the allowed range [80.00, 120.00]",FALSE,018SMPL.d,11/13/2022 15:50,Sample,,B1 SEP1R,39.603,4.7,5.95E+03,3.9,43.785,53.8,34.03,44.6,14.751,4.5,1.51E+05,0.8,42.241,26.2,618.64,20.5,1.196,1.6,9.79E+04,1.8,5.164,5.1,1.51E+04,3.1,0.142,10.1,4084.69,5.3,0.351,3,1.62E+04,2,-1.231,N/A,3.29E+04,3.2,0.147,2.2,2380.6,2.7,0.001,41.5,38.04,39,1.081,4.2,31064.77,3.9,1.08,3.1,36122.35,4,0.148,4.1,9282.59,4.4,2867.16,8.7,114.9,2,223.6,100,86237.19,1.1,108.7,904.94,13.1,138.7,114245.53,1,120.3,3842.39,4.6,133.6,90829.84,1.3,114.4,11832.81,3.5,131.2,106637.21,1.1,118.4,4731.58,5.2,129.8,1708949.4,3.9,2420.9,383843.67,0.9,2828.9
"7  Li ( ISTD )  [ No Gas ] :  ISTD Recovery Percent value = 155.62 is outside the allowed range [80.00, 120.00]7  Li ( ISTD )  [ He Gas ] :  ISTD Recovery Percent value = 200.00 is outside the allowed range [80.00, 120.00]45  Sc ( ISTD )  [ No Gas ] :  CPS RSD value = 6.96 is over the allowed maximum = 5.0045  Sc ( ISTD )  [ No Gas ] :  ISTD Recovery Percent value = 238.25 is outside the allowed range [80.00, 120.00]45  Sc ( ISTD )  [ He Gas ] :  ISTD Recovery Percent value = 167.18 is outside the allowed range [80.00, 120.00]89  Y ( ISTD )  [ No Gas ] :  ISTD Recovery Percent value = 136.23 is outside the allowed range [80.00, 120.00]89  Y ( ISTD )  [ He Gas ] :  ISTD Recovery Percent value = 169.23 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ No Gas ] :  ISTD Recovery Percent value = 133.25 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He Gas ] :  ISTD Recovery Percent value = 172.36 is outside the allowed range [80.00, 120.00]115  In ( ISTD )  [ No Gas ] :  ISTD Recovery Percent value = 141.04 is outside the allowed range [80.00, 120.00]115  In ( ISTD )  [ He Gas ] :  ISTD Recovery Percent value = 174.81 is outside the allowed range [80.00, 120.00]209  Bi ( ISTD )  [ No Gas ] :  ISTD Recovery Percent value = 125.86 is outside the allowed range [80.00, 120.00]209  Bi ( ISTD )  [ He Gas ] :  ISTD Recovery Percent value = 164.25 is outside the allowed range [80.00, 120.00]",FALSE,019SMPL.d,11/13/2022 15:53,Sample,,B1 SEP2L,154.418,4.2,2.42E+04,3.5,116.599,34.3,108.11,32.3,496.404,3.5,1.34E+06,2.9,124.566,6.5,2082.25,6.1,6.423,3.2,5.91E+05,1.3,33.033,2.1,1.22E+05,1.6,10.096,3.6,185244.61,2.1,6.228,3.7,2.85E+05,2,14.039,4.5,2.43E+05,2.4,0.222,9.6,4148.79,7.2,0.061,14.3,2696.99,15.4,0.081,10.2,2797.12,9.4,0.078,5.2,3133.53,5.7,0.681,2.2,49645.89,3,3882.41,2.9,155.6,4,136.9,200,188988.46,7,238.2,1091.14,10.8,167.2,129425.26,0.9,136.2,4865.73,5,169.2,105827.24,2.4,133.3,15540.16,0.9,172.4,127017.48,1.3,141,6373.88,5.4,174.8,88846.9,2,125.9,22287.02,2.3,164.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7340.73,73407.3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370275.1,,
